identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
609746852,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,236,3203,106.77,8.9,fr
609681316,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,fr
609615780,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,707,3203,106.77,8.9,us
609550244,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,fr
609484708,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,fr
609419172,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,377,3203,106.77,8.9,dk
609353636,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,gb
609288100,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,us
609222564,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,664,3203,106.77,8.9,gb
609157028,user,Suisse,de,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,707,3203,106.77,8.9,ch
609091492,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,fr
609025956,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,707,3203,106.77,8.9,fr
608960420,user,Pays-Bas,en,3,8,2,0,0,0.0,0,0,F,2,mrs,True,False,True,True,683,3203,106.77,8.9,nl
608894884,user,Italie,it,3,8,7,0,0,0.0,0,0,F,2,mrs,True,False,True,True,642,3203,106.77,8.9,it
608829348,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,423,3203,106.77,8.9,us
608763812,user,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,707,3203,106.77,8.9,de
608698276,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,707,3203,106.77,8.9,us
608632740,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,es
608567204,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,us
608501668,user,Russie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,707,3203,106.77,8.9,ru
608436132,user,Allemagne,de,3,8,0,0,0,0.0,0,1,F,2,mrs,False,False,False,True,478,3203,106.77,8.9,de
608370596,user,Pologne,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,705,3203,106.77,8.9,pl
608305060,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,443,3203,106.77,8.9,es
608239524,user,Suisse,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,629,3203,106.77,8.9,ch
608173988,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,707,3203,106.77,8.9,gb
