identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
971505571,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,gb
971440035,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,19,2855,95.17,7.93,fr
971374499,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,604,2855,95.17,7.93,dk
971308963,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,694,2855,95.17,7.93,fr
971243427,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,fr
971177891,user,Inde,en,3,8,43,0,0,0.0,1,0,F,2,mrs,True,False,True,True,240,2855,95.17,7.93,in
971112355,user,Allemagne,de,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,694,2855,95.17,7.93,de
971046819,user,Etats-Unis,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,us
970981283,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,au
970915747,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,694,2855,95.17,7.93,us
970850211,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,694,2855,95.17,7.93,fr
970784675,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,694,2855,95.17,7.93,gb
970719139,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,694,2855,95.17,7.93,es
970653603,user,France,it,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,581,2855,95.17,7.93,fr
970588067,user,Autriche,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,at
970522531,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,683,2855,95.17,7.93,gb
970456995,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,us
970391459,user,France,fr,3,8,0,1,0,0.0,0,0,F,2,mrs,False,False,False,True,362,2855,95.17,7.93,fr
970325923,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,431,2855,95.17,7.93,gb
970260387,user,Finlande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,555,2855,95.17,7.93,fi
970194851,user,France,fr,3,8,0,0,0,0.0,0,1,M,1,mr,False,False,False,True,694,2855,95.17,7.93,fr
970129315,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,fr
970063779,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,694,2855,95.17,7.93,fr
969998243,user,Italie,it,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,it
969932707,user,Royaume-Uni,en,3,8,9,0,0,0.0,4,0,M,1,mr,False,False,False,True,678,2855,95.17,7.93,gb
969867171,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,au
969801635,user,Italie,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,449,2855,95.17,7.93,it
969736099,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,518,2855,95.17,7.93,au
969670563,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,it
969605027,user,Iran,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,ir
969539491,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,694,2855,95.17,7.93,us
969473955,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,694,2855,95.17,7.93,es
