identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
2284322723,user,France,fr,3,8,0,0,0,0.0,0,1,F,2,mrs,True,False,True,True,410,3195,106.5,8.88,fr
2284257187,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,575,3195,106.5,8.88,gb
2284191651,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,581,3195,106.5,8.88,fr
2284126115,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,637,3195,106.5,8.88,fr
2284060579,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,416,3195,106.5,8.88,fr
2283995043,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,671,3195,106.5,8.88,gb
2283929507,user,Allemagne,de,3,8,0,0,0,0.0,0,1,M,1,mr,False,False,False,True,692,3195,106.5,8.88,de
2283863971,user,Australie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,696,3195,106.5,8.88,au
2283732899,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,us
2283667363,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,221,3195,106.5,8.88,gb
2283601827,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,us
2283536291,user,Jersey,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,699,3195,106.5,8.88,je
2283470755,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,666,3195,106.5,8.88,fr
2283405219,user,Belgique,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,be
2283339683,user,Autriche,en,3,8,1,0,0,0.0,1,0,F,2,mrs,False,False,False,True,23,3195,106.5,8.88,at
2283274147,user,Autriche,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,153,3195,106.5,8.88,at
2283208611,user,Italie,it,3,8,0,1,0,0.0,0,0,F,2,mrs,True,False,True,True,30,3195,106.5,8.88,it
2283143075,user,France,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,fr
2283077539,user,France,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,680,3195,106.5,8.88,fr
2283012003,user,Etats-Unis,en,3,8,0,0,0,0.0,1,0,F,2,mrs,False,False,False,True,14,3195,106.5,8.88,us
2282946467,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,69,3195,106.5,8.88,us
2282880931,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,699,3195,106.5,8.88,it
2282815395,user,Île Norfolk,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,nf
2282749859,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,433,3195,106.5,8.88,fr
2282684323,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,699,3195,106.5,8.88,us
2282618787,user,France,fr,3,9,0,0,0,0.0,2,1,F,2,mrs,False,False,False,True,279,3195,106.5,8.88,fr
2282553251,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,gb
2282487715,user,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,699,3195,106.5,8.88,it
2282422179,user,Espagne,es,3,8,4,0,0,0.0,0,0,F,2,mrs,False,False,False,True,339,3195,106.5,8.88,es
2282356643,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,623,3195,106.5,8.88,es
2282291107,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,637,3195,106.5,8.88,fr
2282225571,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,us
2282160035,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,34,3195,106.5,8.88,us
2282094499,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,683,3195,106.5,8.88,gb
2282028963,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,fr
2281963427,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,gb
2281897891,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,699,3195,106.5,8.88,fr
2281832355,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,699,3195,106.5,8.88,fr
